    First Harmful Event	                              
    Collision With	              Non-Collision	              
    Motor Vehicle	  Nonmotorist	  Fixed Object	  Object Not Fixed	  Overturn	  Other	  Unknown	  Total Fatal Crashes	  
State	Number	Percent	Number	Percent	Number	Percent	Number	Percent	Number	Percent	Number	Percent	Number	Percent	Number	Percent	  

Alabama	304	38.8	99	12.6	284	36.3	24	3.1	71	9.1	1	0.1	0	0.0	783	100.0	
Alaska	19	31.7	12	20.0	16	26.7	4	6.7	9	15.0	0	0.0	0	0.0	60	100.0	
Arizona	302	37.3	180	22.2	170	21.0	10	1.2	119	14.7	12	1.5	17	2.1	810	100.0	
Arkansas	213	45.1	44	9.3	173	36.7	10	2.1	29	6.1	3	0.6	0	0.0	472	100.0	
California	982	33.6	857	29.3	782	26.7	75	2.6	212	7.2	17	0.6	0	0.0	2925	100.0	
Colorado	190	37.5	71	14.0	132	26.1	13	2.6	92	18.2	8	1.6	0	0.0	506	100.0	
Connecticut	89	35.2	46	18.2	103	40.7	1	0.4	12	4.7	2	0.8	0	0.0	253	100.0	
Delaware	50	41.0	39	32.0	27	22.1	2	1.6	2	1.6	2	1.6	0	0.0	122	100.0	
District of Columbia	6	26.1	13	56.5	3	13.0	1	4.3	0	0.0	0	0.0	0	0.0	23	100.0	
Florida	1033	38.3	763	28.3	637	23.6	41	1.5	200	7.4	25	0.9	0	0.0	2699	100.0	
Georgia	543	40.9	216	16.3	449	33.8	25	1.9	77	5.8	17	1.3	0	0.0	1327	100.0	
Hawaii	29	33.7	28	32.6	25	29.1	1	1.2	2	2.3	1	1.2	0	0.0	86	100.0	
Idaho	71	35.9	8	4.0	59	29.8	6	3.0	52	26.3	2	1.0	0	0.0	198	100.0	
Illinois	334	36.5	163	17.8	301	32.9	39	4.3	53	5.8	24	2.6	0	0.0	914	100.0	
Indiana	316	41.8	104	13.8	244	32.3	17	2.2	67	8.9	8	1.1	0	0.0	756	100.0	
Iowa	119	42.2	27	9.6	76	27.0	7	2.5	48	17.0	5	1.8	0	0.0	282	100.0	
Kansas	113	35.1	26	8.1	113	35.1	9	2.8	57	17.7	4	1.2	0	0.0	322	100.0	
Kentucky	288	41.5	67	9.7	267	38.5	20	2.9	47	6.8	5	0.7	0	0.0	694	100.0	
Louisiana	239	35.5	124	18.4	233	34.6	14	2.1	53	7.9	10	1.5	1	0.1	674	100.0	
Maine	42	29.2	16	11.1	63	43.8	9	6.3	13	9.0	1	0.7	0	0.0	144	100.0	
Maryland	190	40.3	92	19.5	157	33.3	7	1.5	17	3.6	7	1.5	2	0.4	472	100.0	
Massachusetts	89	30.6	80	27.5	103	35.4	10	3.4	6	2.1	3	1.0	0	0.0	291	100.0	
Michigan	358	40.1	192	21.5	247	27.7	26	2.9	54	6.0	16	1.8	0	0.0	893	100.0	
Minnesota	183	48.8	47	12.5	100	26.7	13	3.5	29	7.7	3	0.8	0	0.0	375	100.0	
Mississippi	228	37.7	65	10.8	243	40.2	7	1.2	52	8.6	9	1.5	0	0.0	604	100.0	
Missouri	303	37.8	106	13.2	285	35.5	16	2.0	85	10.6	7	0.9	0	0.0	802	100.0	
Montana	57	27.9	15	7.4	59	28.9	10	4.9	61	29.9	2	1.0	0	0.0	204	100.0	
Nebraska	99	45.4	23	10.6	57	26.1	6	2.8	30	13.8	3	1.4	0	0.0	218	100.0	
Nevada	97	32.8	76	25.7	72	24.3	9	3.0	39	13.2	3	1.0	0	0.0	296	100.0	
New Hampshire	34	33.0	13	12.6	42	40.8	5	4.9	6	5.8	3	2.9	0	0.0	103	100.0	
New Jersey	155	29.7	178	34.1	147	28.2	23	4.4	16	3.1	3	0.6	0	0.0	522	100.0	
New Mexico	83	30.9	55	20.4	60	22.3	4	1.5	66	24.5	1	0.4	0	0.0	269	100.0	
New York	348	33.3	330	31.5	292	27.9	33	3.2	25	2.4	18	1.7	0	0.0	1046	100.0	
North Carolina	525	41.2	189	14.8	445	34.9	26	2.0	78	6.1	12	0.9	0	0.0	1275	100.0	
North Dakota	44	39.6	8	7.2	19	17.1	5	4.5	35	31.5	0	0.0	0	0.0	111	100.0	
Ohio	427	41.5	131	12.7	374	36.3	36	3.5	46	4.5	15	1.5	0	0.0	1029	100.0	
Oklahoma	242	41.2	70	11.9	169	28.7	22	3.7	77	13.1	8	1.4	0	0.0	588	100.0	
Oregon	131	31.8	77	18.7	123	29.9	7	1.7	66	16.0	6	1.5	2	0.5	412	100.0	
Pennsylvania	412	37.4	150	13.6	414	37.6	38	3.4	70	6.4	18	1.6	0	0.0	1102	100.0	
Rhode Island	12	29.3	7	17.1	21	51.2	0	0.0	1	2.4	0	0.0	0	0.0	41	100.0	
South Carolina	374	41.1	136	15.0	329	36.2	18	2.0	42	4.6	10	1.1	0	0.0	909	100.0	
South Dakota	45	39.1	6	5.2	23	20.0	1	0.9	38	33.0	2	1.7	0	0.0	115	100.0	
Tennessee	348	39.4	104	11.8	345	39.0	14	1.6	59	6.7	14	1.6	0	0.0	884	100.0	
Texas	1290	41.3	543	17.4	786	25.2	96	3.1	369	11.8	38	1.2	2	0.1	3124	100.0	
Utah	98	38.3	51	19.9	61	23.8	10	3.9	31	12.1	5	2.0	0	0.0	256	100.0	
Vermont	16	32.0	8	16.0	17	34.0	4	8.0	5	10.0	0	0.0	0	0.0	50	100.0	
Virginia	221	31.1	92	12.9	329	46.3	11	1.5	50	7.0	8	1.1	0	0.0	711	100.0	
Washington	196	38.0	96	18.6	143	27.7	20	3.9	55	10.7	6	1.2	0	0.0	516	100.0	
West Virginia	88	35.8	19	7.7	106	43.1	5	2.0	22	8.9	6	2.4	0	0.0	246	100.0	
Wisconsin	225	43.0	63	12.0	175	33.5	17	3.3	37	7.1	6	1.1	0	0.0	523	100.0	
Wyoming	39	30.2	3	2.3	39	30.2	6	4.7	41	31.8	1	0.8	0	0.0	129	100.0	
USA	12239	38.0	5928	18.4	9939	30.9	833	2.6	2823	8.8	380	1.2	24	0.1	32166	100.0	
