		Age Group	
State	< 5	5 -- 9	10 -- 15	16 -- 20	21 -- 24	25 -- 34	35 -- 44	45 -- 54	55 -- 64	65 -- 74	> 75	Unknown	Total	

Alabama	10	5	18	78	78	164	131	132	105	66	59	3	849	
Alaska	0	1	1	2	8	11	14	9	6	6	7	0	65	
Arizona	10	7	12	61	77	159	137	136	125	84	81	4	893	
Arkansas	7	5	9	39	59	91	88	75	72	46	38	2	531	
California	25	16	59	286	354	629	394	465	447	246	248	7	3176	
Colorado	2	4	7	41	58	106	73	76	85	54	40	0	546	
Connecticut	3	6	5	22	20	46	32	52	36	24	20	0	266	
Delaware	1	0	0	14	8	17	29	17	22	11	7	0	126	
District of Columbia	0	0	0	0	2	7	2	4	4	2	2	0	23	
Florida	23	23	40	234	306	469	392	451	429	257	282	33	2939	
Georgia	19	16	24	125	135	259	193	197	200	150	110	2	1430	
Hawaii	1	0	0	13	7	18	8	17	12	4	11	3	94	
Idaho	3	4	6	24	20	29	31	33	29	22	15	0	216	
Illinois	5	11	21	102	91	169	119	146	141	91	100	2	998	
Indiana	11	9	22	83	73	121	103	129	122	66	82	0	821	
Iowa	1	7	8	46	21	43	29	42	50	31	42	0	320	
Kansas	3	9	8	40	30	50	43	53	53	35	31	0	355	
Kentucky	12	11	16	66	77	123	117	120	100	69	49	1	761	
Louisiana	12	8	17	59	66	153	101	113	100	54	41	2	726	
Maine	2	0	0	10	16	27	20	28	19	11	23	0	156	
Maryland	11	7	2	36	54	97	55	83	78	42	47	1	513	
Massachusetts	1	2	2	21	46	61	28	36	37	40	30	2	306	
Michigan	13	12	18	98	88	163	116	141	131	86	97	0	963	
Minnesota	1	4	10	34	35	58	46	68	56	44	55	0	411	
Mississippi	13	11	17	78	39	125	112	102	86	58	36	0	677	
Missouri	2	7	16	90	77	166	97	136	112	82	84	0	869	
Montana	1	1	6	28	22	44	29	31	22	27	13	0	224	
Nebraska	0	5	3	23	29	51	28	33	39	12	23	0	246	
Nevada	2	3	7	31	30	60	49	40	44	29	30	0	325	
New Hampshire	0	0	0	8	10	17	14	18	24	8	15	0	114	
New Jersey	7	5	8	37	58	93	69	81	76	58	70	0	562	
New Mexico	2	8	4	21	33	73	45	39	37	20	16	0	298	
New York	10	11	18	74	109	194	122	157	169	107	144	6	1121	
North Carolina	24	11	19	112	142	240	174	211	176	123	146	1	1379	
North Dakota	1	0	1	15	16	33	17	14	17	10	7	0	131	
Ohio	4	5	23	122	106	178	147	164	136	112	112	1	1110	
Oklahoma	10	8	11	75	55	111	79	101	83	51	59	0	643	
Oregon	3	6	5	24	35	71	84	60	80	51	28	0	447	
Pennsylvania	10	8	16	121	101	209	135	206	151	114	128	1	1200	
Rhode Island	1	1	0	4	11	8	3	5	7	3	2	0	45	
South Carolina	13	10	12	81	108	185	140	144	151	74	59	0	977	
South Dakota	1	1	6	8	11	20	13	25	27	14	7	0	133	
Tennessee	11	14	12	79	80	172	128	146	135	103	78	0	958	
Texas	51	42	76	336	390	691	523	524	402	248	214	19	3516	
Utah	8	6	8	22	28	48	35	41	27	30	23	0	276	
Vermont	1	0	1	4	6	5	7	12	9	7	5	0	57	
Virginia	3	8	11	56	58	130	108	113	114	82	67	3	753	
Washington	7	9	7	55	46	96	74	76	74	60	64	0	568	
West Virginia	2	2	2	21	25	53	42	42	35	25	19	0	268	
Wisconsin	8	0	9	45	45	101	55	92	72	59	80	0	566	
Wyoming	2	4	0	10	16	37	22	20	23	7	4	0	145	
USA	373	353	603	3114	3415	6281	4652	5256	4787	3115	3050	93	35092	
