  Highest Blood Alcohol Concentration in Crash	                    
    BAC = 0.00	  BAC = .01-.07	  BAC = .08+	  BAC=.01+	  Total Killed	  
State	Number	Percent	Number	Percent	Number	Percent	Number	Percent	Number	Percent	  

Alabama	564	66	39	5	247	29	286	34	849	100	
Alaska	41	62	1	2	23	36	24	38	65	100	
Arizona	552	62	50	6	272	31	322	36	893	100	
Arkansas	356	67	26	5	149	28	175	33	531	100	
California	2101	66	156	5	914	29	1070	34	3176	100	
Colorado	368	67	27	5	151	28	178	33	546	100	
Connecticut	147	55	14	5	103	39	117	44	266	100	
Delaware	80	63	4	3	41	33	45	36	126	100	
District of Columbia	14	61	3	13	6	26	9	39	23	100	
Florida	1984	67	144	5	797	27	941	32	2939	100	
Georgia	1010	71	54	4	366	26	419	29	1430	100	
Hawaii	54	58	6	6	33	35	39	41	94	100	
Idaho	136	63	10	5	70	32	80	37	216	100	
Illinois	633	63	56	6	307	31	363	36	998	100	
Indiana	609	74	34	4	178	22	211	26	821	100	
Iowa	226	71	16	5	78	24	94	29	320	100	
Kansas	257	73	13	4	84	24	97	27	355	100	
Kentucky	535	70	30	4	192	25	223	29	761	100	
Louisiana	439	61	42	6	245	34	287	39	726	100	
Maine	88	56	17	11	52	33	68	44	156	100	
Maryland	316	62	37	7	159	31	196	38	513	100	
Massachusetts	187	61	22	7	96	31	118	39	306	100	
Michigan	649	67	47	5	267	28	314	33	963	100	
Minnesota	262	64	29	7	115	28	144	35	411	100	
Mississippi	465	69	37	5	175	26	212	31	677	100	
Missouri	604	69	40	5	224	26	264	30	869	100	
Montana	130	58	18	8	75	34	93	41	224	100	
Nebraska	160	65	18	7	65	26	83	34	246	100	
Nevada	210	65	17	5	97	30	114	35	325	100	
New Hampshire	72	63	8	7	33	29	41	36	114	100	
New Jersey	423	75	28	5	111	20	139	25	562	100	
New Mexico	190	64	11	4	98	33	109	36	298	100	
New York	748	67	60	5	311	28	370	33	1121	100	
North Carolina	902	65	65	5	411	30	476	35	1379	100	
North Dakota	67	51	11	8	50	38	61	46	131	100	
Ohio	744	67	51	5	313	28	363	33	1110	100	
Oklahoma	441	69	31	5	170	27	201	31	643	100	
Oregon	262	59	29	7	155	35	184	41	447	100	
Pennsylvania	784	65	46	4	364	30	409	34	1200	100	
Rhode Island	22	49	4	8	19	43	23	51	45	100	
South Carolina	633	65	42	4	301	31	343	35	977	100	
South Dakota	86	65	3	2	43	33	46	35	133	100	
Tennessee	655	68	48	5	252	26	300	31	958	100	
Texas	1954	56	229	7	1323	38	1552	44	3516	100	
Utah	222	80	10	4	43	16	53	19	276	100	
Vermont	40	71	1	1	15	27	16	28	57	100	
Virginia	498	66	46	6	208	28	254	34	753	100	
Washington	380	67	39	7	148	26	187	33	568	100	
West Virginia	185	69	12	4	71	27	83	31	268	100	
Wisconsin	345	61	29	5	189	33	217	38	566	100	
Wyoming	85	58	4	3	56	38	60	42	145	100	
USA	22912	65	1808	5	10265	29	12074	34	35092	100	
